"inverse_data","week_day","hour","state","road_id","km","city","cause_of_accident","type_of_accident","victims_condition","weather_timestamp","road_direction","wheather_condition","road_type","road_delineation","people","deaths","slightly_injured","severely_injured","uninjured","ignored","total_injured","vehicles_involved","latitude","longitude","regional","police_station"
"2017-02-13","monday","08:00:00","RN","405","3","MOSSORO","Driver broke the laws of transit","Broadside collision","With injured victims","Day","Decreasing","Clear sky","Simple","Straight"," 6"," 0"," 2"," 0"," 4"," 0"," 2"," 2","-5.194000e+00","-3.737890e+01","SPRF-RN","DEL04-RN"
"2017-02-13","monday","07:00:00","GO","158","199,5","CAIAPONIA","Mechanical loss/defect of vehicle","Run-off-road","Without victims","Day","Decreasing","Rainy","Simple","Not Reported"," 1"," 0"," 0"," 0"," 1"," 0"," 0"," 1","-1.731230e+01","-5.187950e+01","SPRF-GO","DEL05-GO"
"2017-02-13","monday","08:30:00","MT","364","461","VARZEA GRANDE","The driver passed the next car improperly","Side impact collision","Without victims","Day","Increasing","Cloudy","Simple","Straight"," 2"," 0"," 0"," 0"," 2"," 0"," 0"," 2","-1.546930e+01","-5.630910e+01","SPRF-MT","DEL01-MT"
"2017-02-13","monday","09:55:00","PR","116","113","CURITIBA","Disrespect of safe distance from the next car","Rear-end collision","With injured victims","Day","Decreasing","Cloudy","Double","Straight"," 5"," 0"," 2"," 0"," 3"," 0"," 2"," 3","-2.539477e+01","-4.921128e+01","SPRF-PR","DEL01-PR"
"2017-02-13","monday","10:10:00","RS","285","328,7","CARAZINHO","Driver was sleeping","Side impact collision","With injured victims","Day","Decreasing","Drizzle","Simple","Not Reported"," 3"," 0"," 2"," 0"," 1"," 0"," 2"," 2","-2.828983e+01","-5.271785e+01","SPRF-RS","DEL08-RS"
"2017-02-13","monday","08:20:00","RS","116","355","TAPES","Driver's lack of attention to conveyance","Side impact collision","Without victims","Day","Decreasing","Cloudy","Simple","Straight"," 2"," 0"," 0"," 0"," 2"," 0"," 0"," 2","-3.057023e+01","-5.152312e+01","SPRF-RS","DEL02-RS"
"2017-02-13","monday","13:05:00","RS","290","112,9","ELDORADO DO SUL","Incompatible velocity","Rear-end collision","With injured victims","Day","Increasing","Cloudy","Simple","Straight"," 7"," 0"," 3"," 0"," 4"," 0"," 3"," 5","-3.004369e+01","-5.133858e+01","SPRF-RS","DEL02-RS"
"2017-02-13","monday","14:15:00","RS","386","432","MONTENEGRO","Driver's lack of attention to conveyance","Side impact collision","Without victims","Day","Increasing","Clear sky","Simple","Straight"," 2"," 0"," 0"," 0"," 2"," 0"," 0"," 2","-2.983196e+01","-5.131565e+01","SPRF-RS","DEL04-RS"
"2017-02-13","monday","14:00:00","GO","153","507,9","APARECIDA DE GOIANIA","Disrespect of safe distance from the next car","Rear-end collision","With injured victims","Day","Increasing","Rainy","Double","Straight"," 2"," 0"," 1"," 0"," 1"," 0"," 1"," 2","-1.677150e+01","-4.923870e+01","SPRF-GO","DEL01-GO"
"2017-02-13","monday","13:00:00","MS","163","587","BANDEIRANTES","Driver was sleeping","Overturn","Without victims","Day","Increasing","Clear sky","Double","Straight"," 2"," 0"," 0"," 0"," 2"," 0"," 0"," 2","-1.960260e+01","-5.439420e+01","SPRF-MS","DEL06-MS"
"2017-02-13","monday","13:50:00","TO","153","122,6","WANDERLANDIA","Slippery track","Side impact collision","Without victims","Day","Decreasing","Drizzle","Simple","Temporary Detour"," 2"," 0"," 0"," 0"," 2"," 0"," 0"," 2","-7.066940e+00","-4.811901e+01","SPRF-TO","DEL02-TO"
"2017-02-13","monday","15:45:00","RS","386","403","TRIUNFO","Natural phenomena","Run-off-road","Without victims","Day","Increasing","Rainy","Double","Curve"," 1"," 0"," 0"," 0"," 1"," 0"," 0"," 1","-2.973209e+01","-5.163232e+01","SPRF-RS","DEL04-RS"
"2017-02-13","monday","09:55:00","PI","230","183,2","OEIRAS","Driver's lack of attention to conveyance","Run-off-road","Without victims","Day","Increasing","Cloudy","Simple","Straight"," 2"," 0"," 0"," 0"," 2"," 0"," 0"," 1","-6.962491e+00","-4.202453e+01","SPRF-PI","DEL04-PI"
"2017-02-13","monday","14:00:00","RO","364","571","ITAPUA DO OESTE","Mechanical loss/defect of vehicle","Side impact collision","With injured victims","Day","Increasing","Clear sky","Simple","Curve"," 2"," 0"," 0"," 1"," 1"," 0"," 1"," 2","-9.454988e+00","-6.310212e+01","SPRF-RO","DEL03-RO"
"2017-02-13","monday","15:30:00","MG","40","531,5","BELO HORIZONTE","Driver's lack of attention to conveyance","Side impact collision","With injured victims","Day","Increasing","Cloudy","Double","Straight"," 2"," 0"," 1"," 0"," 1"," 0"," 1"," 2","-1.992444e+01","-4.401505e+01","SPRF-MG","DEL01-MG"
"2017-02-13","monday","16:15:00","MG","262","381,8","MATEUS LEME","Incompatible velocity","Overturn","With dead victims","Day","Increasing","Sunny","Double","Curve"," 1"," 1"," 0"," 0"," 0"," 0"," 0"," 1","-1.993720e+01","-4.444950e+01","SPRF-MG","DEL01-MG"
"2017-02-13","monday","13:20:00","BA","101","666,7","ITAPEBI","Mechanical loss/defect of vehicle","Run-off-road","Without victims","Day","Decreasing","Clear sky","Simple","Curve"," 1"," 0"," 0"," 0"," 1"," 0"," 0"," 1","-1.598348e+01","-3.956880e+01","SPRF-BA","DEL09-BA"
"2017-02-13","monday","14:30:00","PR","277","412","CANTAGALO","Mechanical loss/defect of vehicle","Cargo spill","Without victims","Day","Increasing","Cloudy","Double","Curve"," 1"," 0"," 0"," 0"," 1"," 0"," 0"," 1","-2.537491e+01","-5.212683e+01","SPRF-PR","DEL04-PR"
"2017-02-13","monday","17:00:00","GO","60","463,1","JATAI","Mechanical loss/defect of vehicle","Run-off-road","With injured victims","Day","Increasing","Cloudy","Double","Not Reported"," 4"," 0"," 1"," 0"," 3"," 0"," 1"," 2","-1.787775e+01","-5.164520e+01","SPRF-GO","DEL05-GO"
"2017-02-13","monday","16:00:00","PB","230","237,5","JUAZEIRINHO","Mechanical loss/defect of vehicle","Overturn","Without victims","Day","Increasing","Cloudy","Simple","Straight"," 1"," 0"," 0"," 0"," 1"," 0"," 0"," 1","-7.051831e+00","-3.652954e+01","SPRF-PB","DEL02-PB"
"2017-02-13","monday","17:00:00","GO","153","667,5","GOIATUBA","Incompatible velocity","Run-off-road","With injured victims","Day","Decreasing","Clear sky","Double","Temporary Detour"," 1"," 0"," 1"," 0"," 0"," 0"," 1"," 1","-1.810720e+01","-4.927660e+01","SPRF-GO","DEL03-GO"
"2017-02-13","monday","17:30:00","GO","60","83,2","ANAPOLIS","Disrespect of safe distance from the next car","Rear-end collision","Without victims","Day","Increasing","Rainy","Double","Straight"," 2"," 0"," 0"," 0"," 2"," 0"," 0"," 2","-1.631583e+01","-4.885379e+01","SPRF-GO","DEL02-GO"
"2017-02-13","monday","18:00:00","RJ","101","263,1","RIO BONITO","Driver's lack of attention to conveyance","Side impact collision","With injured victims","Day","Decreasing","Clear sky","Double","Straight"," 2"," 0"," 1"," 0"," 1"," 0"," 1"," 2","-2.271861e+01","-4.262798e+01","SPRF-RJ","DEL02-RJ"
"2017-02-13","monday","18:15:00","PR","158","421,8","RIO BONITO DO IGUACU","Slippery track","Overturn","With dead victims","Day","Increasing","Rainy","Simple","Straight"," 3"," 1"," 2"," 0"," 0"," 0"," 2"," 2","-2.550774e+01","-5.257722e+01","SPRF-PR","DEL04-PR"
